Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
over-size-t-shirt,,,,,,,,size,S,Color,Off-White,,,,20.00,28.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0662/2694/6111/files/IMG-7675.png?v=1777768192,4,
over-size-t-shirt,,,,,,,,size,S,Color,Dark Grey,,,,20.00,28.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0662/2694/6111/files/IMG-7674.png?v=1777768191,5,
over-size-t-shirt,,,,,,,,size,M,Color,Black,,,,20.00,28.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0662/2694/6111/files/IMG-8090.png?v=1779537800,6,
over-size-t-shirt,,,,,,,,size,M,Color,White,,,,20.00,28.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0662/2694/6111/files/FullSizeRender_f5557729-5c25-4be8-a2b6-f127c805d8ad.jpg?v=1779340785,7,
over-size-t-shirt,,,,,,,,size,M,Color,Mocha,,,,20.00,28.00,TRUE,TRUE,,,
over-size-t-shirt,,,,,,,,size,M,Color,Off-White,,,,20.00,28.00,TRUE,TRUE,,,
over-size-t-shirt,,,,,,,,size,M,Color,Dark Grey,,,,20.00,28.00,TRUE,TRUE,,,
over-size-t-shirt,,,,,,,,size,L,Color,Black,,,,20.00,28.00,TRUE,TRUE,,,
over-size-t-shirt,,,,,,,,size,L,Color,White,,,,20.00,28.00,TRUE,TRUE,,,
over-size-t-shirt,,,,,,,,size,L,Color,Mocha,,,,20.00,28.00,TRUE,TRUE,,,
over-size-t-shirt,,,,,,,,size,L,Color,Off-White,,,,20.00,28.00,TRUE,TRUE,,,
over-size-t-shirt,,,,,,,,size,L,Color,Dark Grey,,,,20.00,28.00,TRUE,TRUE,,,
over-size-t-shirt,,,,,,,,size,XL,Color,Black,,,,20.00,28.00,TRUE,TRUE,,,
over-size-t-shirt,,,,,,,,size,XL,Color,White,,,,20.00,28.00,TRUE,TRUE,,,
over-size-t-shirt,,,,,,,,size,XL,Color,Mocha,,,,20.00,28.00,TRUE,TRUE,,,
over-size-t-shirt,,,,,,,,size,XL,Color,Off-White,,,,20.00,28.00,TRUE,TRUE,,,
over-size-t-shirt,,,,,,,,size,XL,Color,Dark Grey,,,,20.00,28.00,TRUE,TRUE,,,
womens-tailored-pants,Women's Tailored Pants,"<p>Tailored pants with a structured, flattering fit. Designed for comfort throughout the day while maintaining a polished look for work or going out.</p>",Essaint,,,,FALSE,Size,XS,,,,,,36.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0662/2694/6111/files/16ce0722-1d92-4296-8355-908578450b78.jpg?v=1777741760,1,draft
womens-tailored-pants,,,,,,,,Size,S,,,,,,36.00,,TRUE,TRUE,,,
womens-tailored-pants,,,,,,,,Size,M,,,,,,36.00,,TRUE,TRUE,,,
womens-tailored-pants,,,,,,,,Size,L,,,,,,36.00,,TRUE,TRUE,,,
tailored-pants,Tailored Pants,"<p>Structured tailored pants designed for a clean, refined silhouette. Comfortable enough for daily wear while transitioning easily from the office to evening plans.</p>",Essaint,,,,FALSE,Size,M,Color,Gray,,,,40.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0662/2694/6111/files/807456df-0a0c-4e9d-bfa3-1d8f97538337.jpg?v=1777741800,1,draft
tailored-pants,,,,,,,,Size,L,Color,Gray,,,,40.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0662/2694/6111/files/IMG-8788.png?v=1782418004,2,
tailored-pants,,,,,,,,Size,XL,Color,Gray,,,,40.00,,TRUE,TRUE,,,
tailored-pants,,,,,,,,Size,M,Color,Black,,,,40.00,,TRUE,TRUE,,,
tailored-pants,,,,,,,,Size,L,Color,Black,,,,40.00,,TRUE,TRUE,,,
tailored-pants,,,,,,,,Size,XL,Color,Black,,,,40.00,,TRUE,TRUE,,,
womens-pinstriped-pants,Women's Pinstriped Pants,"<p>Refined pinstriped pants tailored for a flattering, structured fit. Comfortable enough for daily wear, with a polished finish suited for the office or evenings out.</p>",Essaint,,,,FALSE,Size,XS,,,,,,36.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0662/2694/6111/files/71f2d3fe-40a2-4eff-9d33-715f9f34b3cd.jpg?v=1777741890,1,draft
womens-pinstriped-pants,,,,,,,,Size,S,,,,,,36.00,,TRUE,TRUE,,,
womens-pinstriped-pants,,,,,,,,Size,M,,,,,,36.00,,TRUE,TRUE,,,
womens-pinstriped-pants,,,,,,,,Size,L,,,,,,36.00,,TRUE,TRUE,,,
pinstriped-pants,Navy Pinstriped,<p>Polished pinstriped pants that bring structure to both work and everyday looks. The tailored fit and stretch fabric offer ease of movement without losing shape.</p>,Essaint,,,,FALSE,Size,M,,,,,,40.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0662/2694/6111/files/5b8f2a79-3d66-447d-8f90-1f05bfaf99eb.jpg?v=1777741932,1,draft
pinstriped-pants,,,,,,,,Size,L,,,,,,40.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0662/2694/6111/files/417a2c04-0d27-4808-8cb0-eb7f68cf3163.jpg?v=1777759399,2,
pinstriped-pants,,,,,,,,Size,XL,,,,,,40.00,,TRUE,TRUE,,,
purple-stripped-pants,Purple Striped Pants,"<p>Lightweight striped pants with a relaxed, comfortable fit. The soft elastic waistband and breathable fabric make them easy to wear all day.</p>",Essaint,,,,FALSE,Size,S-M,,,,,,30.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0662/2694/6111/files/IMG-7672.png?v=1777767654,1,draft
purple-stripped-pants,,,,,,,,Size,L,,,,,,30.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0662/2694/6111/files/IMG-7671.png?v=1777767411,2,
linen-pants-unisex,Linen Pants,"<p>Breathable linen-blend pants built for warm-weather ease. Relaxed through the leg with a comfortable waistband, they move easily between casual days and relaxed evenings.</p>",Essaint,,,,FALSE,Color,Beige,Size,S-M,,,,36.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0662/2694/6111/files/a706e691-fea2-46bb-b1ff-3121499c3cc2.jpg?v=1777742025,1,draft
linen-pants-unisex,,,,,,,,Color,Beige,Size,L-XL,,,,36.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0662/2694/6111/files/ChatGPT_Image_May_2_2026_08_28_06_PM.png?v=1777742943,2,
linen-pants-unisex,,,,,,,,Color,Beige,Size,2XL,,,,36.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0662/2694/6111/files/ChatGPT_Image_May_2_2026_08_22_11_PM.png?v=1777742942,3,
linen-pants-unisex,,,,,,,,Color,Black,Size,S-M,,,,36.00,,TRUE,TRUE,,,
linen-pants-unisex,,,,,,,,Color,Black,Size,L-XL,,,,36.00,,TRUE,TRUE,,,
linen-pants-unisex,,,,,,,,Color,Black,Size,2XL,,,,36.00,,TRUE,TRUE,,,
linen-pants-unisex,,,,,,,,Color,White,Size,S-M,,,,36.00,,TRUE,TRUE,,,
linen-pants-unisex,,,,,,,,Color,White,Size,L-XL,,,,36.00,,TRUE,TRUE,,,
linen-pants-unisex,,,,,,,,Color,White,Size,2XL,,,,36.00,,TRUE,TRUE,,,
perfect-fit-t-shirt,Perfect Fit T-Shirt,"<p>A wardrobe staple designed for a clean, everyday fit. Soft, breathable cotton keeps you comfortable from morning to night, whether dressed up or down.</p>",Essaint,,T-shirt,,FALSE,Size,M,Color,White,,,,26.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0662/2694/6111/files/30109111-4abd-4d17-97ff-7b17a5dae395.jpg?v=1777642896,1,draft
perfect-fit-t-shirt,,,,,,,,Size,M,Color,Black,,,,26.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0662/2694/6111/files/IMG-7677.png?v=1777768398,2,
perfect-fit-t-shirt,,,,,,,,Size,L,Color,White,,,,26.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0662/2694/6111/files/ChatGPT_Image_May_2_2026_08_35_05_PM.png?v=1777743373,3,
perfect-fit-t-shirt,,,,,,,,Size,L,Color,Black,,,,26.00,,TRUE,TRUE,,,
perfect-fit-t-shirt,,,,,,,,Size,XL,Color,White,,,,26.00,,TRUE,TRUE,,,
perfect-fit-t-shirt,,,,,,,,Size,XL,Color,Black,,,,26.00,,TRUE,TRUE,,,
